,Category,Message
0,0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
1,0,ok lar joking wif u oni
2,1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs
3,0,u dun say so early hor u c already then say
4,0,nah i dont think he goes to usf he lives around here though
5,1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send £ to rcv
6,0,even my brother is not like to speak with me they treat me like aids patent
7,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
8,1,winner as a valued network customer you have been selected to receivea £ prize reward to claim call claim code kl valid hours only
9,1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
10,0,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
11,1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info
12,1,urgent you have won a week free membership in our £ prize jackpot txt the word claim to no tc lccltd pobox ldnwarw
13,0,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14,0,i have a date on sunday with will
15,1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh kim watching here
17,0,eh u remember how spell his name yes i did he v naughty make until i v wet
18,0,fine if thats the way u feel thats the way its gota b
19,1,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txtú poboxoxwwq
20,0,is that seriously how you spell his name
21,0,i‘m going to try for months ha ha only joking
22,0,so ü pay first lar then when is da stock comin
23,0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
24,0,ffffffffff alright no way i can meet up with you sooner
25,0,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
26,0,lol your always so convincing
27,0,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love
28,0,im back amp were packing the car now ill let you know if theres room
29,0,ahhh work i vaguely remember that what does it feel like lol
30,0,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
31,0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you
32,0,k tell me anything about you
33,0,for fear of fainting with the of all that housework you just did quick have a cuppa
34,1,thanks for your subscription to ringtone uk your mobile will be charged £month please confirm by replying yes or no if you reply no you will not be charged
35,0,yup ok i go home look at the timings then i msg ü again xuhui going to learn on nd may too but her lesson is at am
36,0,oops ill let you know when my roommates done
37,0,i see the letter b on my car
38,0,anything lor u decide
39,0,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
40,0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
41,0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
42,1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
43,0,who are you seeing
44,0,great i hope you like your man well endowed i am ltgt inches
45,0,no callsmessagesmissed calls
46,0,didnt you get hep b immunisation in nigeria
47,0,fair enough anything going on
48,0,yeah hopefully if tyler cant do it i could maybe ask around a bit
49,0,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
50,0,what you thinked about me first time you saw me in class
51,0,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt
52,0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
53,0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
54,1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
55,0,do you know what mallika sherawat did yesterday find out now lturlgt
56,1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out
57,0,sorry ill call later in meeting
58,0,tell where you reached
59,0,yesgauti and sehwag out of odi series
60,0,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me
61,0,ha ha ha good joke girls are situation seekers
62,0,its a part of checking iq
63,0,sorry my roommates took forever it ok if i come by now
64,0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
65,1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a £ bonus prize call
66,0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
67,1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or £ to claim txt dis to £morefrmmob shracomorsglsuplt ls aj
68,1,did you hear about the new divorce barbie it comes with all of kens stuff
69,0,i plane to give on this month end
70,0,wah lucky man then can save money hee
71,0,finished class where are you
72,0,hi babe im at home now wanna do something xx
73,0,kkwhere are youhow did you performed
74,0,u can call me now
75,0,i am waiting machan call me once you free
76,0,thats cool i am a gentleman and will treat you with dignity and respect
77,0,i like you peoples very much but am very shy pa
78,0,does not operate after ltgt or what
79,0,its not the same here still looking for a job how much do tas earn there
80,0,sorry ill call later
81,0,k did you call me just now ah
82,0,ok i am on the way to home hi hi
83,0,you will be in the place of that man
84,0,yup next stop
85,0,i call you later dont have network if urgnt sms me
86,0,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis
87,0,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros
88,0,im really not up to it still tonight babe
89,0,ela kanoil download come wen ur free
90,0,yeah do don‘t stand to close tho you‘ll catch something
91,0,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry
92,0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling
93,1,please call our customer service representative on between ampm as you have won a guaranteed £ cash or £ prize
94,0,havent planning to buy later i check already lido only got show in e afternoon u finish work already
95,1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box mk h ppw
96,0,watching telugu moviewat abt u
97,0,i see when we finish we have loads of loans to pay
98,0,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u
99,0,i see a cup of coffee animation
100,0,please dont text me anymore i have nothing else to say
101,0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
102,0,im still looking for a car to buy and have not gone the driving test yet
103,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
104,0,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
105,0,umma my life and vava umma love you lot dear
106,0,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
107,0,aight ill hit you up when i get some cash
108,0,how would my ip address test that considering my computer isnt a minecraft server
109,0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
110,0,dont worry i guess hes busy
111,0,what is the plural of the noun research
112,0,going for dinnermsg you after
113,0,im ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud
114,1,gent we are trying to contact you last weekends draw shows that you won a £ prize guaranteed call claim code k valid hrs only ppm
115,0,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened
116,0,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
117,1,you are a winner u have been specially selected receive £ or a holiday flights inc speak to a live operator claim pmin
118,0,goodo yes we must speak friday eggpotato ratio for tortilla needed
119,0,hmmmy uncle just informed me that hes paying the school directly so pls buy food
120,1,private your account statement for shows unredeemed bonus points to claim call identifier code expires
121,1,urgent your mobile no was awarded £ bonus caller prize on this is our final try to contact u call from landline boxwrc ppm
122,0,here is my new address applespairsall that malarky
123,1,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app
124,0,i am going to sao mu today will be done only at
125,0,ü predict wat time üll finish buying
126,0,good stuff will do
127,0,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise
128,0,are you there in room
129,0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
130,0,kkhow much does it cost
131,0,im home
132,0,dear will call tmorrowpls accomodate
133,0,first answer my question
134,1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to £ sptyrone
135,1,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network bt txting gravel to nt eca
136,0,i only haf msn its
137,0,he is there you call and meet him
138,0,no no i will check all rooms befor activities
139,1,youll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again
140,0,got c i lazy to type i forgot ü in lect i saw a pouch but like not v nice
141,0,k text me when youre on the way
142,0,sir waiting for your mail
143,0,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni
144,0,i know you are can you pls open the back
145,0,yes see ya not on the dot
146,0,whats the staff name who is taking class for us
147,1,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end
148,0,ummmawill call after check inour life will begin from qatar so pls pray very hard
149,0,ki deleted my contact that why
150,0,sindu got job in birla soft
151,0,the wine is flowing and im i have nevering
152,0,yup i thk cine is better cos no need go down plaza mah
153,0,ok ur typical reply
154,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
